Part;Quantity/ board;Quantity/n boards;Value;Voltage;Device;Package;Unitary Price;Price/board;Price/n boards
B2;1;10;;;SWITCH_TACT_SMT4.6X2.8;BTN_KMR2_4.6X2.8; 0,44 € ; 0,44 € ; 4,37 € 
C1;1;10;10uF;16V;CAP_CERAMIC_0603;_0603; 0,24 € ; 0,24 € ; 2,37 € 
C2, C3;2;20;10uF;6,3V;CAP_CERAMIC_0603;_0603; 0,10 € ; 0,19 € ; 1,92 € 
C4, C6;2;20;0.1uF;6,3V;CAP_CERAMIC_0603;_0603; 0,12 € ; 0,24 € ; 2,42 € 
C5;1;10;470pF;6,3V;CAP_CERAMIC_0603;_0603; 0,33 € ; 0,33 € ; 3,30 € 
DC;1;10;2.1MMJACKTHM;;2.1MMJACKTHM;PJ-102A; 0,71 € ; 0,71 € ; 7,12 € 
DRIVER;1;10;ULN2003AFWG;;ULN2003AFWG;SOIC127P562X173-16N; 0,47 € ; 0,47 € ; 4,66 € 
ESP-12E;1;10;ESP-12E;;ESP8266-12EESP8266-ESP12E;ESP8266-ESP12E; 1,86 € ; 1,86 € ; 18,60 € 
GPIO0;1;10;;;LED0603;CHIPLED_0603; 0,21 € ; 0,21 € ; 2,15 € 
JTAG;1;10;SM06B-GHS-TB(LF)(SN);;SM06B-GHS-TB(LF)(SN);SM06B-GHS-TB; 0,48 € ; 0,48 € ; 4,77 € 
MOTOR;1;10;SM05B-GHS-TB(LF)(SN);;SM05B-GHS-TB(LF)(SN);SM05B-GHS-TB; 0,39 € ; 0,39 € ; 3,89 € 
JTAG_MALE;1;10;?GHR-06V-S?;;?GHR-06V-S?;?GHR-06V-S?; 0,14 € ; 0,14 € ; 1,43 € 
MOTOR_MALE;1;10;?GHR-05V-S?;;?GHR-05V-S?;?GHR-05V-S?; 0,14 € ; 0,14 € ; 1,40 € 
Q1, Q2;2;20;BCW32;;TRANSISTOR_NPN;SOT23-R; 0,13 € ; 0,25 € ; 2,54 € 
R1, R2, R3, R4, R5;5;50;10k;;RESISTOR_0603;_0603; 0,06 € ; 0,30 € ; 2,95 € 
R6, R7;2;20;22k;;RESISTOR_0603;_0603; 0,05 € ; 0,10 € ; 1,04 € 
R8;1;10;1k;;RESISTOR_0603;_0603; 0,03 € ; 0,03 € ; 0,28 € 
TL1963;1;10;TL1963;;NCP1117;SOT223; 2,57 € ; 2,57 € ; 25,70 € 
;;;;;;;;;
;;;;;;;;Cost/ Board;Cost/n board
;n;10;;;;;TOTAL;9,09 €;90,91 €
